Направление,Год 2019,Год 2020,Год 2021,Год 2022,Год 2023,Год 2024,Год 2025,,,Шансы поступить,,,Предметы
,Проходной балл,Проходной балл,Проходной балл,Проходной балл,Проходной балл,Проходной балл,Прогнозируемый проходной балл,Кол-во договорных мест,Разброс,Высокие,Средние,Низкие,
01.03.05 Статистика,-,-,-,-,-,-,-,17,0, Новое направление нет данных,,,"Профильная математика, Информатика"
23.03.01 Технология транспортных процессов,-,-,-,-,-,-,-,20,0, Новое направление нет данных,,,"Профильная математика, Информатика/Физика"
38.03.05 — Бизнес-информатика,150,139,144,134,147,132,139,75,18,159,149,149,"Профильная математика, Информатика/Обществознание"
37.03.01 — Психология,-,-,-,-,-,147,147,20,0,167,157,157,"Обществознание, Биология"
43.03.03 — Гостиничное дело,170,170,198,160,129,154,158,34,69,227,193,193,"Обществознание, История/Иностранный язык"
38.03.04 — Государственное и муниципальное управление,128,145,-,141,148,134,140,100,20,160,150,150,"Обществознание, Профильная математика/Иностранный язык"
38.03.02 — Менеджмент,124,139,155,131,125,133,134,437,31,165,150,150,"Профильная математика, Иностранный язык/Обществознание"
41.03.04 — Политология,159,156,133,137,152,148,146,30,26,172,159,159,"История, Обществознание/Иностранный язык"
09.03.03 — Прикладная информатика,113,140,147,142,171,129,144,48,58,202,173,173,"Профильная математика, Информатика"
27.03.05 — Инноватика,133,146,149,-,-,-,145,20,16,165,155,155,"Профильная математика, Информатика/Физика"
42.03.01 — Реклама и связи с общественностью,165,159,164,150,129,130,143,200,36,179,161,161,"Обществознание, История/Иностранный язык"
39.03.01 — Социология,195,192,169,163,147,129,155,25,66,221,188,188,"Обществознание, История/Иностранный язык"
38.03.03 — Управление персоналом,124,144,139,153,146,141,144,40,29,173,159,159,"Профильная математика, Иностранный язык/Обществознание"
05.03.06 — Экология и природопользование,-,145,-,-,147,-,146,20,2,166,156,156,"Профильная математика, Информатика/География"
38.03.01 — Экономика,138,138,150,130,132,134,136,218,20,156,146,146,"Профильная математика, Иностранный язык/Обществознание"
40.03.01 — Юриспруденция,150,147,174,151,131,125,142,125,49,191,167,167,"Обществознание, История/Иностранный язык"
