Направление,Год 2019,Год 2020,Год 2021,Год 2022,Год 2023,Год 2024,Год 2025,,,,,,,Шансы поступить,,,Предметы
,,,,,,,Прогнозируемый проходной балл,Кол-во бюджетных мест всего,в том числе:,,,,Разброс,,,,,
,,,,,,,,,общие места,квота приема на целевое обучение,особая квота,отдельная квота,,Высокие,Средние,Низкие,,
05.03.06 — Экология и природопользование,-,191,-,150,182,155,166,20,14,2,2,2,41,207,187,187,"Профильная математика, Информатика/География"
27.03.05 — Инноватика,260,260,-,-,225,-,238,20,15,1,2,2,35,273,256,256,"Профильная математика, Информатика/Физика"
38.03.01 — Экономика,253,256,259,249,254,264,257,21,14,3,2,2,15,277,267,267,"Профильна математика, Иностранный язык/Обществознание"
38.03.02 — Менеджмент,249,256,260,248,255,263,256,54,39,5,5,5,15,276,266,266,"Профильная математика, Иностранный язык/Обществознание"
38.03.03 — Управление персоналом,249,254,255,245,247,262,253,8,4,2,1,1,17,273,263,263,"Профильная математика, Иностранный язык/Обществознание"
38.03.04 — Государственное и муниципальное управление,250,-,-,-,-,263,261,7,4,1,1,1,13,281,271,271,"Профильная математика, Обществознание/Иностранный язык"
38.03.05 — Бизнес-информатика,248,259,256,256,259,270,261,8,5,1,1,1,22,283,272,272,"Профильная математика, Информатика/Обществознание"
43.03.03 — Гостиничное дело,270,271,270,261,248,-,260,25,18,1,3,3,23,283,272,272,"Профильная математика,  Обществознание/История/Иностранный язык"
37.03.01 — Психология,245,248,252,240,246,258,250,15,10,2,2,1,18,268,258,258,"Обществознание, Биология"
41.03.01 — Политология,240,243,247,235,241,253,245,12,8,2,1,1,18,263,253,253,"Обществознание, История/Иностранный язык"
42.03.01 — Реклама и связи с общественностью,242,245,249,237,243,255,247,18,12,3,2,1,18,265,255,255,"Обществознание, История/Иностранный язык"
39.03.01 — Социология,238,241,245,233,239,251,243,10,6,2,1,1,18,261,251,251,"Обществознание, История/Иностранный язык"
40.03.01 — Юриспруденция,255,258,262,250,256,268,260,25,18,3,2,2,18,278,268,268,"Обществознание, История/Иностранный язык"
