form,subjects,code,name,predicted_2025,trend,budget_places,chance_text,chance_prob,graph_path
Очно-бюджетная,"Математика, Информатика, Русский язык",38.03.05,38.03.05 — Бизнес-информатика,261,📈 Растущий,0,🔴 Очень низкие,0.15,
Очно-бюджетная,"Математика, Информатика, Русский язык",27.03.05,27.03.05 —Инноватика,238,📉 Снижающийся,0,🟢 Высокие,0.85,
Очно-бюджетная,"Математика, Информатика, Русский язык",05.03.06,05.03.06 — Экология и природопользование,166,📈 Растущий,0,🟢 Высокие,0.85,
Очно-бюджетная,"Математика, Обществознание, Русский язык",38.03.04,38.03.04 — Государственное и муниципальное управление,261,➡️ Стабильный,0,🔴 Очень низкие,0.15,
Очно-бюджетная,"Математика, Обществознание, Русский язык",38.03.05,38.03.05 — Бизнес-информатика,261,📈 Растущий,0,🔴 Очень низкие,0.15,
Очно-бюджетная,"Математика, Обществознание, Русский язык",43.03.03,43.03.03 — Гостиничное дело,260,📉 Снижающийся,0,🔴 Очень низкие,0.15,
Очно-бюджетная,"Математика, Обществознание, Русский язык",38.03.01,38.03.01 — Экономика,257,📈 Растущий,0,🔴 Очень низкие,0.15,
Очно-бюджетная,"Математика, Обществознание, Русский язык",38.03.02,38.03.02 — Менеджмент,256,📈 Растущий,0,🔴 Очень низкие,0.15,
Очно-бюджетная,"Математика, История, Русский язык",43.03.03,43.03.03 — Гостиничное дело,260,📉 Снижающийся,0,🔴 Очень низкие,0.15,
Очно-бюджетная,"Математика, Биология, Русский язык",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,—,,
Очно-бюджетная,"Математика, Химия, Русский язык",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,—,,
Очно-бюджетная,"Математика, Физика, Русский язык",27.03.05,27.03.05 —Инноватика,238,📉 Снижающийся,0,🟢 Высокие,0.85,
Очно-бюджетная,"Математика, География, Русский язык",05.03.06,05.03.06 — Экология и природопользование,166,📈 Растущий,0,🟢 Высокие,0.85,
Очно-бюджетная,"Математика, Английский язык, Русский язык",38.03.04,38.03.04 — Государственное и муниципальное управление,261,➡️ Стабильный,0,🔴 Очень низкие,0.15,
