form,subjects,code,name,predicted_2025,trend,budget_places,chance_text,chance_prob,graph_path,historical_scores,user_score,analysis
Очно-бюджетная,"Математика, Информатика",38.03.05,,261,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 261, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Информатика",27.03.05,,238,,0,🟡 Средние,0.65,,,,"Прогноз: 238, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Информатика",05.03.06,,166,,0,🟢 Высокие,0.85,,,,"Прогноз: 166, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Обществознание",38.03.04,,261,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 261, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Обществознание",38.03.05,,261,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 261, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Обществознание",43.03.03,,260,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 260, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Обществознание",38.03.01,,257,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 257, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Обществознание",38.03.02,,256,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 256, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Обществознание",38.03.03,,253,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 253, Тренд: , Места: 0"
Очно-бюджетная,"Математика, История",43.03.03,,260,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 260, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Биология",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Математика, Химия",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Математика, Физика",27.03.05,,238,,0,🟡 Средние,0.65,,,,"Прогноз: 238, Тренд: , Места: 0"
Очно-бюджетная,"Математика, География",05.03.06,,166,,0,🟢 Высокие,0.85,,,,"Прогноз: 166, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Английский язык",38.03.04,,261,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 261, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Английский язык",43.03.03,,260,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 260, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Английский язык",38.03.01,,257,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 257, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Английский язык",38.03.02,,256,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 256, Тренд: , Места: 0"
Очно-бюджетная,"Математика, Английский язык",38.03.03,,253,,0,🔴 Очень низкие,0.15,,,,"Прогноз: 253, Тренд: , Места: 0"
Очно-бюджетная,"Информатика, Обществознание",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Информатика, История",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Информатика, Биология",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Информатика, Химия",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Информатика, Физика",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Информатика, География",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Информатика, Английский язык",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Обществознание, История",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Обществознание, Биология",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Обществознание, Химия",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Обществознание, Физика",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Обществознание, География",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"Обществознание, Английский язык",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
Очно-бюджетная,"История, Биология",,НАПРАВЛЕНИЯ НЕ НАЙДЕНЫ,,,,,,,,,
