subjects,form,expected_count,found_count,matches,missing,extra,compliance_rate
"Математика, Информатика",Очно-бюджетная,6,0,,"Статистика, Экология и природопользование, Технология транспортных процессов, Бизнес-информатика, Инноватика, Прикладная информатика",,0.0%
"Математика, Информатика",Очно-платная,6,0,,"Статистика, Экология и природопользование, Технология транспортных процессов, Бизнес-информатика, Инноватика, Прикладная информатика",,0.0%
"Математика, Информатика",Заочно-бюджетная,6,0,,"Статистика, Экология и природопользование, Технология транспортных процессов, Бизнес-информатика, Инноватика, Прикладная информатика",,0.0%
"Математика, Информатика",Заочно-платная,6,0,,"Статистика, Экология и природопользование, Технология транспортных процессов, Бизнес-информатика, Инноватика, Прикладная информатика",,0.0%
"Математика, Английский язык",Очно-бюджетная,3,0,,"Менеджмент, Управление персоналом, Экономика",,0.0%
"Математика, Английский язык",Очно-платная,3,0,,"Менеджмент, Управление персоналом, Экономика",,0.0%
"Математика, Английский язык",Заочно-бюджетная,3,0,,"Менеджмент, Управление персоналом, Экономика",,0.0%
"Математика, Английский язык",Заочно-платная,3,0,,"Менеджмент, Управление персоналом, Экономика",,0.0%
"Математика, Физика",Очно-бюджетная,2,0,,"Технология транспортных процессов, Инноватика",,0.0%
"Математика, Физика",Очно-платная,2,0,,"Технология транспортных процессов, Инноватика",,0.0%
"Математика, Физика",Заочно-бюджетная,2,0,,"Технология транспортных процессов, Инноватика",,0.0%
"Математика, Физика",Заочно-платная,2,0,,"Технология транспортных процессов, Инноватика",,0.0%
"Математика, География",Очно-бюджетная,1,0,,Экология и природопользование,,0.0%
"Математика, География",Очно-платная,1,0,,Экология и природопользование,,0.0%
"Математика, География",Заочно-бюджетная,1,0,,Экология и природопользование,,0.0%
"Математика, География",Заочно-платная,1,0,,Экология и природопользование,,0.0%
"Обществознание, История",Очно-бюджетная,5,0,,"Политология, Реклама и связи с общественностью, Социология, Юриспруденция, Гостиничное дело",,0.0%
"Обществознание, История",Очно-платная,5,0,,"Политология, Реклама и связи с общественностью, Социология, Юриспруденция, Гостиничное дело",,0.0%
"Обществознание, История",Заочно-бюджетная,5,0,,"Политология, Реклама и связи с общественностью, Социология, Юриспруденция, Гостиничное дело",,0.0%
"Обществознание, История",Заочно-платная,5,0,,"Политология, Реклама и связи с общественностью, Социология, Юриспруденция, Гостиничное дело",,0.0%
"Обществознание, Английский язык",Очно-бюджетная,5,0,,"Гостиничное дело, Реклама и связи с общественностью, Социология, Юриспруденция, Государственное и муниципальное управление",,0.0%
"Обществознание, Английский язык",Очно-платная,5,0,,"Гостиничное дело, Реклама и связи с общественностью, Социология, Юриспруденция, Государственное и муниципальное управление",,0.0%
"Обществознание, Английский язык",Заочно-бюджетная,5,0,,"Гостиничное дело, Реклама и связи с общественностью, Социология, Юриспруденция, Государственное и муниципальное управление",,0.0%
"Обществознание, Английский язык",Заочно-платная,5,0,,"Гостиничное дело, Реклама и связи с общественностью, Социология, Юриспруденция, Государственное и муниципальное управление",,0.0%
"История, Английский язык",Очно-бюджетная,1,0,,Политология,,0.0%
"История, Английский язык",Очно-платная,1,0,,Политология,,0.0%
"История, Английский язык",Заочно-бюджетная,1,0,,Политология,,0.0%
"История, Английский язык",Заочно-платная,1,0,,Политология,,0.0%
"Обществознание, Биология",Очно-бюджетная,1,0,,Психология,,0.0%
"Обществознание, Биология",Очно-платная,1,0,,Психология,,0.0%
"Обществознание, Биология",Заочно-бюджетная,1,0,,Психология,,0.0%
"Обществознание, Биология",Заочно-платная,1,0,,Психология,,0.0%
"Математика, Обществознание",Очно-бюджетная,5,0,,"Бизнес-информатика, Государственное и муниципальное управление, Менеджмент, Управление персоналом, Экономика",,0.0%
"Математика, Обществознание",Очно-платная,5,0,,"Бизнес-информатика, Государственное и муниципальное управление, Менеджмент, Управление персоналом, Экономика",,0.0%
"Математика, Обществознание",Заочно-бюджетная,5,0,,"Бизнес-информатика, Государственное и муниципальное управление, Менеджмент, Управление персоналом, Экономика",,0.0%
"Математика, Обществознание",Заочно-платная,5,0,,"Бизнес-информатика, Государственное и муниципальное управление, Менеджмент, Управление персоналом, Экономика",,0.0%
